Month,Year,CityState,AffectedPop,UV,Drs,NumReps,Revenue
Feb,2018,GreensboroNC,54128,0,55,1,11182.5
Mar,2018,GreensboroNC,71709,6,64,1,15504
Apr,2018,GreensboroNC,102454.4,21,68,1,13638.5
May,2018,GreensboroNC,118756.75,22,54,1,15694.5
June,2018,GreensboroNC,78479.5,10,61,1,13922
July,2018,GreensboroNC,61773.4,18,59,1,13312.5
Aug,2018,GreensboroNC,56237.5,19,68,1,15382.5
Sep,2018,GreensboroNC,64399.4,77,52,1,12052
Oct,2018,GreensboroNC,63008.75,83,48,1,11699
Nov,2018,GreensboroNC,59638.5,93,50,1,10749
Dec,2018,GreensboroNC,50762.2,37,44,1,10918.5
Jan,2019,GreensboroNC,48055.75,18,51,1,15278.5
Feb,2019,GreensboroNC,59241.75,42,41,1,13541
Mar,2019,GreensboroNC,76351.4,56,44,1,16545.5
Apr,2019,GreensboroNC,110824.75,79,36,1,13950
May,2019,GreensboroNC,116892.25,82,42,1,18496
June,2019,GreensboroNC,86460,114,45,1,15880.5
July,2019,GreensboroNC,69490.75,67,39,1,13616.5
Aug,2019,GreensboroNC,62214.5,108,44,1,11444.5
Sep,2019,GreensboroNC,74921.4,160,50,1,15765.5
Oct,2019,GreensboroNC,75155.25,265,42,1,12185.5
Nov,2019,GreensboroNC,64873.5,86,30,1,9259.5
Dec,2019,GreensboroNC,62439.2,74,24,1,5582
Jan,2020,GreensboroNC,58822.25,50,36,1,9780.6457
Feb,2020,GreensboroNC,61698.5,92,28,1,9914.9233
Mar,2020,GreensboroNC,87571.2,143,29,1,9249.5352
Jan,2018,HarrisburgPA,64310.25,0,11,0,4052
Feb,2018,HarrisburgPA,59630.25,0,9,0,3496
Mar,2018,HarrisburgPA,74503.25,1,7,0,4408
Apr,2018,HarrisburgPA,89754,7,14,0,4580
May,2018,HarrisburgPA,127896.5,14,10,0,4559
June,2018,HarrisburgPA,105105,9,12,0,4871.5
July,2018,HarrisburgPA,78017.8,8,12,0,5143
Aug,2018,HarrisburgPA,69966.25,14,10,0,5408.5
Sep,2018,HarrisburgPA,74286.2,21,10,0,5074.5
Oct,2018,HarrisburgPA,72069.5,31,8,0,6232
Nov,2018,HarrisburgPA,64557.5,20,14,0,4269.5
Dec,2018,HarrisburgPA,60674,18,12,0,4055.5
Jan,2019,HarrisburgPA,60115.25,13,12,0,4635
Feb,2019,HarrisburgPA,60407.75,14,12,0,3880
Mar,2019,HarrisburgPA,75961.6,26,9,0,4667
Apr,2019,HarrisburgPA,103814.75,31,13,0,4574.5
May,2019,HarrisburgPA,130901.25,37,7,0,6450
June,2019,HarrisburgPA,108223.6,55,10,0,4407.5
July,2019,HarrisburgPA,89338,33,9,0,5704.5
Aug,2019,HarrisburgPA,85690,52,13,0,4845.5
Sep,2019,HarrisburgPA,98310.8,78,10,0,5358.5
Oct,2019,HarrisburgPA,94067,128,12,0,4232
Nov,2019,HarrisburgPA,81272.75,48,8,0,4561.5
Dec,2019,HarrisburgPA,75259.8,39,11,0,4689.5
Jan,2020,HarrisburgPA,74666,11,8,0,4480.3333
Feb,2020,HarrisburgPA,76787.5,36,8,0,4027.5851
Mar,2020,HarrisburgPA,90105.4,87,12,0,5617.0759
Jan,2018,HoustonTX,346052.5,1,411,2,126090.5
Feb,2018,HoustonTX,375826.5,3,420,2,139401
Mar,2018,HoustonTX,466131.5,152,474,2,199910.5
Apr,2018,HoustonTX,553858.8,294,445,2,160528
May,2018,HoustonTX,468313.5,245,451,2,172914.5
June,2018,HoustonTX,373237.25,142,439,2,143912
July,2018,HoustonTX,319264.8,199,444,2,138222
Aug,2018,HoustonTX,312506.5,351,455,2,167261.5
Sep,2018,HoustonTX,385531.6,787,437,2,150577
Oct,2018,HoustonTX,392048,1096,457,2,164873.5
Nov,2018,HoustonTX,370772.5,1019,421,2,140721
Dec,2018,HoustonTX,351406.4,491,401,2,130654.5
Jan,2019,HoustonTX,324550.75,278,408,2,153892.5
Feb,2019,HoustonTX,359840,534,438,2,158799.5
Mar,2019,HoustonTX,460943,937,452,2,189257
Apr,2019,HoustonTX,508494.5,730,472,2,201356
May,2019,HoustonTX,438478.75,1040,483,2,210758.5
June,2019,HoustonTX,366848.8,1857,449,2,178513.5
July,2019,HoustonTX,324086.5,1090,463,2,167076
Aug,2019,HoustonTX,348863.75,1491,470,2,183551
Sep,2019,HoustonTX,460038.6,2476,447,2,148479.5
Oct,2019,HoustonTX,454779.5,3233,467,2,174229.5
Nov,2019,HoustonTX,448014.5,1007,414,2,136036.5
Dec,2019,HoustonTX,411483.8,1048,414,2,131085.5
Jan,2020,HoustonTX,381801,965,440,2,161084.275
Feb,2020,HoustonTX,430713,3653,471,2,171719.6531
Mar,2020,HoustonTX,565686.8,7411,462,2,156482.3706
Jan,2018,IndianapolisIN,81562,2,24,0,4081
Feb,2018,IndianapolisIN,90504.25,1,20,0,4723.5
Mar,2018,IndianapolisIN,107331,29,21,0,6222
Apr,2018,IndianapolisIN,128417,134,21,0,6577.5
May,2018,IndianapolisIN,175528.75,87,17,0,5763.5
June,2018,IndianapolisIN,151378.5,82,24,0,5870
July,2018,IndianapolisIN,112747.6,140,20,0,4734.5
Aug,2018,IndianapolisIN,114783,189,24,0,6725
Sep,2018,IndianapolisIN,116458.2,386,28,0,4606.5
Oct,2018,IndianapolisIN,107821,547,17,0,5593
Nov,2018,IndianapolisIN,96679,585,20,0,4654
Dec,2018,IndianapolisIN,83232.4,129,18,0,4861.5
Jan,2019,IndianapolisIN,75642,66,19,0,6256.5
Feb,2019,IndianapolisIN,74107,137,29,0,4893.5
Mar,2019,IndianapolisIN,86548.8,249,18,0,5837.5
Apr,2019,IndianapolisIN,109289.25,199,14,0,6300.5
May,2019,IndianapolisIN,139095.25,407,20,0,5263
June,2019,IndianapolisIN,114999.6,597,23,0,5692.5
July,2019,IndianapolisIN,95062,345,24,0,4678.5
Aug,2019,IndianapolisIN,102538.25,454,22,0,3232
Sep,2019,IndianapolisIN,125975.8,753,25,0,3624
Oct,2019,IndianapolisIN,112697,1005,25,0,4236
Nov,2019,IndianapolisIN,100737,361,21,0,3276
Dec,2019,IndianapolisIN,91164.4,306,18,0,3234
Jan,2020,IndianapolisIN,80100.5,148,32,0,4730.2205
Feb,2020,IndianapolisIN,91203.25,368,21,0,4041.3481
Mar,2020,IndianapolisIN,102990.8,500,23,0,2926.2131
Jan,2018,JacksonMS,51812.75,0,13,0,4470
Feb,2018,JacksonMS,54285.25,0,14,0,8468
Mar,2018,JacksonMS,65210.75,6,17,0,8621
Apr,2018,JacksonMS,80033,20,20,0,9713.5
May,2018,JacksonMS,70066,35,17,0,11228
June,2018,JacksonMS,57116.25,37,21,0,9869.5
July,2018,JacksonMS,49798.6,57,21,0,8269.5
Aug,2018,JacksonMS,50376.75,67,19,0,11477
Sep,2018,JacksonMS,56278.2,87,20,0,9468
Oct,2018,JacksonMS,53305.5,29,14,0,10422.5
Nov,2018,JacksonMS,49964.5,37,17,0,9806
Dec,2018,JacksonMS,49456.8,10,17,0,7361.5
Jan,2019,JacksonMS,45905.75,13,16,0,6353.5
Feb,2019,JacksonMS,49633.75,15,17,0,4815.5
Mar,2019,JacksonMS,54169.4,27,15,0,4549
Apr,2019,JacksonMS,56972.5,32,15,0,6347.5
May,2019,JacksonMS,53006.5,44,15,0,5566
June,2019,JacksonMS,44285.8,48,16,0,8243
July,2019,JacksonMS,41045,45,19,0,7456.5
Aug,2019,JacksonMS,42786.25,52,14,0,8709.5
Sep,2019,JacksonMS,52944.8,104,15,0,7149.5
Oct,2019,JacksonMS,39994.25,119,15,0,7650.5
Nov,2019,JacksonMS,36082.75,23,11,0,6173.5
Dec,2019,JacksonMS,30826,37,12,0,4654.5
Jan,2020,JacksonMS,29006.75,31,16,0,6703.2521
Feb,2020,JacksonMS,33468.75,41,18,0,7767.259
Mar,2020,JacksonMS,41831,77,15,0,5723.7935
Jan,2018,JacksonvilleFL,104957.25,0,166,1,34630.5
Feb,2018,JacksonvilleFL,114930.75,2,155,1,33808
Mar,2018,JacksonvilleFL,170584.75,14,160,1,42329
Apr,2018,JacksonvilleFL,163079.2,50,154,1,40944.5
May,2018,JacksonvilleFL,149720.75,45,156,1,37738
June,2018,JacksonvilleFL,120978,30,161,1,36457.5
July,2018,JacksonvilleFL,106260.2,49,159,1,33375
Aug,2018,JacksonvilleFL,98891,69,161,1,38913
Sep,2018,JacksonvilleFL,114451,103,146,1,34866
Oct,2018,JacksonvilleFL,106894,132,146,1,40115
Nov,2018,JacksonvilleFL,110411,162,150,1,35937
Dec,2018,JacksonvilleFL,99543.4,74,144,1,31852.5
Jan,2019,JacksonvilleFL,95303,51,151,0,35107
Feb,2019,JacksonvilleFL,114700,66,168,0,35840
Mar,2019,JacksonvilleFL,121101.8,118,152,0,37705
Apr,2019,JacksonvilleFL,121508.5,90,162,0,40880
May,2019,JacksonvilleFL,113311.25,173,176,0,40273.5
June,2019,JacksonvilleFL,87970.4,230,153,0,37333.5
July,2019,JacksonvilleFL,78628,161,150,0,32084
Aug,2019,JacksonvilleFL,81372.75,206,167,0,39424.5
Sep,2019,JacksonvilleFL,93056,321,138,0,27825.5
Oct,2019,JacksonvilleFL,98931.25,446,151,0,35831.5
Nov,2019,JacksonvilleFL,99038.25,134,153,0,30772
Dec,2019,JacksonvilleFL,92476.2,174,159,0,31361
Jan,2020,JacksonvilleFL,86435.75,144,150,0,34004.8283
Feb,2020,JacksonvilleFL,111158.5,226,149,0,35516.9175
Mar,2020,JacksonvilleFL,126266.6,355,169,0,36676.3167
Jan,2018,Kansas CityMO,54694,0,24,1,6510
Feb,2018,Kansas CityMO,53992.5,0,25,1,7427
Mar,2018,Kansas CityMO,69266.75,21,28,1,8651
Apr,2018,Kansas CityMO,98408,59,27,1,8969.5
May,2018,Kansas CityMO,120092,61,30,1,7429.5
June,2018,Kansas CityMO,98348.75,36,30,1,8707.5
July,2018,Kansas CityMO,77027.8,51,29,1,6831.5
Aug,2018,Kansas CityMO,74998.5,87,29,1,9606.5
Sep,2018,Kansas CityMO,92155.8,227,28,1,8102.5
Oct,2018,Kansas CityMO,77219.25,356,25,1,6675.5
Nov,2018,Kansas CityMO,67530.5,492,26,1,5782
Dec,2018,Kansas CityMO,57652.8,230,27,1,6468
Jan,2019,Kansas CityMO,55707.5,99,32,2,7613.5
Feb,2019,Kansas CityMO,58027.25,113,25,2,5121
Mar,2019,Kansas CityMO,68132.8,183,29,2,9063
Apr,2019,Kansas CityMO,120805.5,203,30,2,9021.5
May,2019,Kansas CityMO,138551.5,332,27,2,8770
June,2019,Kansas CityMO,99915.4,665,26,2,8513
July,2019,Kansas CityMO,81115.5,344,24,2,7324.5
Aug,2019,Kansas CityMO,85241.25,434,29,2,9385.5
Sep,2019,Kansas CityMO,104464.6,916,25,2,5801.5
Oct,2019,Kansas CityMO,92723.75,1205,27,2,7576
Nov,2019,Kansas CityMO,74816.5,388,22,2,5512.5
Dec,2019,Kansas CityMO,67502,483,22,2,6789.5
Jan,2020,Kansas CityMO,56932,155,28,2,34838.8724
Feb,2020,Kansas CityMO,55938.25,396,30,2,17249.5246
Mar,2020,Kansas CityMO,75875,634,25,2,29254.6971
Jan,2018,KnoxvilleTN,64456.75,0,61,1,11227.5
Feb,2018,KnoxvilleTN,66219.25,0,73,1,13498.5
Mar,2018,KnoxvilleTN,81487.75,8,71,1,18321.5
Apr,2018,KnoxvilleTN,96348.6,30,71,1,20264
May,2018,KnoxvilleTN,106385.5,20,78,1,19844.5
June,2018,KnoxvilleTN,83222,19,64,1,20141
July,2018,KnoxvilleTN,67179.2,28,55,1,17349.5
Aug,2018,KnoxvilleTN,67233.75,52,71,1,19328
Sep,2018,KnoxvilleTN,75351.4,93,64,1,17033
Oct,2018,KnoxvilleTN,70154.75,128,64,1,20239.5
Nov,2018,KnoxvilleTN,62143.5,123,54,1,18712.5
Dec,2018,KnoxvilleTN,58081,51,56,1,20022
Jan,2019,KnoxvilleTN,56860,39,59,1,18989
Feb,2019,KnoxvilleTN,61098,55,55,1,15182.5
Mar,2019,KnoxvilleTN,70689.4,117,58,1,13704.5
Apr,2019,KnoxvilleTN,89307.75,107,63,1,15314.5
May,2019,KnoxvilleTN,95568,154,68,1,16766
June,2019,KnoxvilleTN,72826,265,63,1,15113.5
July,2019,KnoxvilleTN,66554.75,133,60,1,13968.5
Aug,2019,KnoxvilleTN,72727,209,66,1,16002
Sep,2019,KnoxvilleTN,85405.6,343,64,1,12877.5
Oct,2019,KnoxvilleTN,74005,417,66,1,14802.5
Nov,2019,KnoxvilleTN,69757.75,138,56,1,11515.5
Dec,2019,KnoxvilleTN,66226.6,160,57,1,10769.5
Jan,2020,KnoxvilleTN,61190.75,127,69,1,33412.1758
Feb,2020,KnoxvilleTN,64699.25,195,62,1,29566.9807
Mar,2020,KnoxvilleTN,76311.6,202,56,1,33321.5924
Jan,2018,LansingMI,39289.75,0,1,0,3
Feb,2018,LansingMI,41393.25,0,2,0,8.5
Mar,2018,LansingMI,48788.5,3,0,0,0
Apr,2018,LansingMI,57205.8,14,1,0,3
May,2018,LansingMI,62315,11,1,0,6
June,2018,LansingMI,61716.75,9,2,0,142.5
July,2018,LansingMI,50127.2,6,2,0,136
Aug,2018,LansingMI,46019.5,19,3,0,27
Sep,2018,LansingMI,51216.2,27,1,0,18
Oct,2018,LansingMI,50821,48,2,0,71
Nov,2018,LansingMI,45808,51,2,0,64.5
Dec,2018,LansingMI,40052.2,13,4,0,107
Jan,2019,LansingMI,37108,10,3,0,30
Feb,2019,LansingMI,35715.5,24,5,0,139.5
Mar,2019,LansingMI,45008.2,35,2,0,76
Apr,2019,LansingMI,52778,28,5,0,157
May,2019,LansingMI,61092,72,6,0,267
June,2019,LansingMI,64117.6,85,2,0,43
July,2019,LansingMI,56423,43,3,0,153.5
Aug,2019,LansingMI,50301.25,74,1,0,18.5
Sep,2019,LansingMI,57823.2,98,2,0,9
Oct,2019,LansingMI,54793.25,120,3,0,46
Nov,2019,LansingMI,48430.25,58,2,0,9
Dec,2019,LansingMI,44214.6,63,2,0,6
Jan,2020,LansingMI,40986,13,1,0,6
Feb,2020,LansingMI,40565.5,51,1,0,9
Mar,2020,LansingMI,47710,89,1,0,2.9412
Jan,2018,Las VegasNV,148699.75,5,363,0,139592.5
Feb,2018,Las VegasNV,146041.25,5,401,0,146527
Mar,2018,Las VegasNV,188952.5,61,397,0,174057
Apr,2018,Las VegasNV,229416.8,127,408,0,212640.5
May,2018,Las VegasNV,209772.25,98,414,0,192706.5
June,2018,Las VegasNV,156692.75,58,380,0,176888
July,2018,Las VegasNV,131386.8,72,387,0,175018
Aug,2018,Las VegasNV,127450.5,87,401,0,179901.5
Sep,2018,Las VegasNV,161282.8,207,377,0,148839.5
Oct,2018,Las VegasNV,139895.25,376,420,0,174519
Nov,2018,Las VegasNV,140706.5,328,384,0,154884
Dec,2018,Las VegasNV,128981.6,160,377,0,134434.5
Jan,2019,Las VegasNV,123109,121,403,0,153415
Feb,2019,Las VegasNV,133853.5,151,397,0,168422.5
Mar,2019,Las VegasNV,163329,327,420,0,190434.5
Apr,2019,Las VegasNV,244762,327,443,0,218308.5
May,2019,Las VegasNV,211961.5,473,426,0,202337.5
June,2019,Las VegasNV,158986.8,660,416,0,193164
July,2019,Las VegasNV,133899.75,405,419,0,180405.5
Aug,2019,Las VegasNV,139798.25,544,435,0,190068.5
Sep,2019,Las VegasNV,171653.6,946,420,0,159613.5
Oct,2019,Las VegasNV,175636.25,1363,426,0,173232
Nov,2019,Las VegasNV,165778.25,461,398,0,152201
Dec,2019,Las VegasNV,142843.2,442,374,0,126027
Jan,2020,Las VegasNV,149316.5,370,391,0,139805.527
Feb,2020,Las VegasNV,168276.5,634,405,0,152105.8892
Mar,2020,Las VegasNV,205873.8,943,401,0,167114.3386
Jan,2018,LexingtonKY,68768,0,38,0,8552
Feb,2018,LexingtonKY,66002.25,0,32,0,10048
Mar,2018,LexingtonKY,85035.25,3,28,0,8111.5
Apr,2018,LexingtonKY,99622.6,18,34,0,7954.5
May,2018,LexingtonKY,110872.5,14,35,0,10328.5
June,2018,LexingtonKY,95021.75,19,30,0,7947
July,2018,LexingtonKY,77355.8,18,28,0,7226
Aug,2018,LexingtonKY,72975.5,26,34,0,8951.5
Sep,2018,LexingtonKY,90630,47,30,0,8811
Oct,2018,LexingtonKY,76532.5,52,33,0,10146.5
Nov,2018,LexingtonKY,75864.5,59,25,0,7777.5
Dec,2018,LexingtonKY,65961.4,32,28,0,9809
Jan,2019,LexingtonKY,67816.25,16,38,0,9331.5
Feb,2019,LexingtonKY,70024.75,33,37,0,7744
Mar,2019,LexingtonKY,79682.2,62,32,0,7355
Apr,2019,LexingtonKY,93725.25,32,32,0,9807.5
May,2019,LexingtonKY,111763.5,84,40,0,11521.5
June,2019,LexingtonKY,92549.4,110,33,0,10411.5
July,2019,LexingtonKY,76567,70,30,0,11171.5
Aug,2019,LexingtonKY,84460,98,38,0,13642.5
Sep,2019,LexingtonKY,106238.8,183,30,0,9653
Oct,2019,LexingtonKY,89742.5,242,38,0,12920
Nov,2019,LexingtonKY,82201,83,26,0,8134
Dec,2019,LexingtonKY,77475.8,79,24,0,7615.5
Jan,2020,LexingtonKY,68341.5,26,24,0,11131.6946
Feb,2020,LexingtonKY,72372.75,102,24,0,11279.7862
Mar,2020,LexingtonKY,86413,134,28,0,10507.8656
Jan,2018,Little RockAR,71582.25,0,26,1,11674.5
Feb,2018,Little RockAR,72122,0,27,1,12300.5
Mar,2018,Little RockAR,87953,7,32,1,13752
Apr,2018,Little RockAR,116994.4,27,28,1,16651
May,2018,Little RockAR,107498.25,5,30,1,15595
June,2018,Little RockAR,83420,4,26,1,15986
July,2018,Little RockAR,74555.8,13,30,1,14122.5
Aug,2018,Little RockAR,70513,18,29,1,13371
Sep,2018,Little RockAR,85555.6,57,28,1,13157.5
Oct,2018,Little RockAR,78661.25,61,29,1,16932.5
Nov,2018,Little RockAR,75327.25,52,29,1,11783.5
Dec,2018,Little RockAR,70308.8,15,29,1,10776
Jan,2019,Little RockAR,70309.25,12,27,1,11657.5
Feb,2019,Little RockAR,71745.25,20,20,1,7009
Mar,2019,Little RockAR,75368.4,30,22,1,7904.5
Apr,2019,Little RockAR,101839,33,26,1,7141.5
May,2019,Little RockAR,90235.25,68,23,1,7361.5
June,2019,Little RockAR,57555.2,72,30,1,10055.5
July,2019,Little RockAR,51097.75,51,28,1,10388
Aug,2019,Little RockAR,54741,78,33,1,13090
Sep,2019,Little RockAR,69806.2,99,30,1,14350
Oct,2019,Little RockAR,62698.25,136,29,1,15566.5
Nov,2019,Little RockAR,60604.25,56,32,1,12194.5
Dec,2019,Little RockAR,55459.2,52,28,1,10767
Jan,2020,Little RockAR,53094.75,40,29,1,14392.4899
Feb,2020,Little RockAR,55360,70,27,1,11769.8315
Mar,2020,Little RockAR,70601.4,88,29,1,10987.4385
Jan,2018,Los AngelesCA,1171542.5,1,279,3,61249.5
Feb,2018,Los AngelesCA,1269024.75,9,291,3,70559.5
Mar,2018,Los AngelesCA,1333789.75,83,307,3,84099
Apr,2018,Los AngelesCA,1476874,257,309,3,81772
May,2018,Los AngelesCA,1548629.75,180,310,3,98961
June,2018,Los AngelesCA,1285404.25,218,320,3,92658.5
July,2018,Los AngelesCA,1122032,222,299,3,89010.5
Aug,2018,Los AngelesCA,1022502,366,337,3,110134
Sep,2018,Los AngelesCA,1155359.6,773,332,3,100220.5
Oct,2018,Los AngelesCA,1138047.25,1069,324,3,104758.5
Nov,2018,Los AngelesCA,1108634.25,1126,313,3,89251.5
Dec,2018,Los AngelesCA,1017726.8,459,286,3,76617
Jan,2019,Los AngelesCA,1020828.25,273,306,3,84309.5
Feb,2019,Los AngelesCA,1123256,414,283,3,91221
Mar,2019,Los AngelesCA,1421604.2,772,335,3,103824
Apr,2019,Los AngelesCA,1712963.5,851,340,3,112856
May,2019,Los AngelesCA,1797465.25,1265,363,3,116932
June,2019,Los AngelesCA,1443288.4,1888,342,3,94410
July,2019,Los AngelesCA,1307014.5,1176,340,3,101514
Aug,2019,Los AngelesCA,1315364.5,1249,353,3,107634
Sep,2019,Los AngelesCA,1443165,2016,346,3,87514
Oct,2019,Los AngelesCA,1494400.5,3133,358,3,101698.5
Nov,2019,Los AngelesCA,1434796.75,1014,297,3,80881
Dec,2019,Los AngelesCA,1314663,882,289,3,76146.5
Jan,2020,Los AngelesCA,1152199.25,748,316,3,90583.3495
Feb,2020,Los AngelesCA,1293630.5,2970,309,3,104023.2305
Mar,2020,Los AngelesCA,1514471.6,4782,319,3,104577.072
Jan,2018,LouisvilleKY,99905.5,1,62,0,10769
Feb,2018,LouisvilleKY,96545.5,0,65,0,13139.5
Mar,2018,LouisvilleKY,121926.25,15,71,0,12957.5
Apr,2018,LouisvilleKY,142334.4,57,64,0,12719
May,2018,LouisvilleKY,165736.5,47,67,0,17044.5
June,2018,LouisvilleKY,141907.75,40,71,0,15971
July,2018,LouisvilleKY,110894.6,44,73,0,13509.5
Aug,2018,LouisvilleKY,109003,70,70,0,15138.5
Sep,2018,LouisvilleKY,122350.4,201,61,0,14071.5
Oct,2018,LouisvilleKY,110820,236,72,0,11504
Nov,2018,LouisvilleKY,111243.25,213,57,0,8503
Dec,2018,LouisvilleKY,100339.6,132,60,0,9732.5
Jan,2019,LouisvilleKY,87287.25,67,64,0,9882.5
Feb,2019,LouisvilleKY,87571.25,104,56,0,12471.5
Mar,2019,LouisvilleKY,101300,178,68,0,13188.5
Apr,2019,LouisvilleKY,125274.5,238,50,0,12476
May,2019,LouisvilleKY,142551.5,367,59,0,12727.5
June,2019,LouisvilleKY,121334.2,517,57,0,10873.5
July,2019,LouisvilleKY,112705.5,289,66,0,12492.5
Aug,2019,LouisvilleKY,117949.75,344,71,0,14792.5
Sep,2019,LouisvilleKY,137406.6,594,67,0,11729.5
Oct,2019,LouisvilleKY,122017,1004,58,0,13156.5
Nov,2019,LouisvilleKY,102486.75,273,61,0,9780.5
Dec,2019,LouisvilleKY,97561.8,225,60,0,9154
Jan,2020,LouisvilleKY,96611,93,70,0,9930.489
Feb,2020,LouisvilleKY,100902,271,70,0,8387.2
Mar,2020,LouisvilleKY,121705.8,392,70,0,11647.4686
Jan,2018,LubbockTX,28523.25,1,10,0,1646.5
Feb,2018,LubbockTX,27908.75,0,10,0,1999.5
Mar,2018,LubbockTX,28604.5,3,9,0,2697.5
Apr,2018,LubbockTX,35718.6,10,10,0,2353
May,2018,LubbockTX,33207,8,17,0,3142.5
June,2018,LubbockTX,25855,4,10,0,2837
July,2018,LubbockTX,22560.6,13,8,0,3053.5
Aug,2018,LubbockTX,23574.25,12,13,0,3214
Sep,2018,LubbockTX,29185.2,41,11,0,2200.5
Oct,2018,LubbockTX,28691.25,35,11,0,1532.5
Nov,2018,LubbockTX,25453.5,56,13,0,3545
Dec,2018,LubbockTX,24153.8,20,16,0,3664.5
Jan,2019,LubbockTX,23705.5,19,16,0,3422
Feb,2019,LubbockTX,24558.75,26,13,0,3113
Mar,2019,LubbockTX,26548.2,37,11,0,3120.5
Apr,2019,LubbockTX,30319.25,26,13,0,2418.5
May,2019,LubbockTX,29985.75,46,17,0,3319.5
June,2019,LubbockTX,25406.4,73,14,0,2461.5
July,2019,LubbockTX,22074.75,48,12,0,2862
Aug,2019,LubbockTX,22493,57,17,0,3477
Sep,2019,LubbockTX,30804.4,95,11,0,2294
Oct,2019,LubbockTX,29416.75,155,13,0,2216.5
Nov,2019,LubbockTX,27279.5,50,11,0,1559.5
Dec,2019,LubbockTX,26682.8,44,7,0,1634
Jan,2020,LubbockTX,23582.75,49,13,0,2677.7069
Feb,2020,LubbockTX,23482,60,13,0,2402.0795
Mar,2020,LubbockTX,27309.4,68,10,0,1897.9535
Jan,2018,MadisonWI,35388.25,1,8,0,2422.5
Feb,2018,MadisonWI,35397,0,8,0,2333
Mar,2018,MadisonWI,38513,9,8,0,2524.5
Apr,2018,MadisonWI,50182.4,24,8,0,2954.5
May,2018,MadisonWI,59996.5,22,6,0,4221
June,2018,MadisonWI,59494.75,13,8,0,3132.5
July,2018,MadisonWI,48793.2,31,12,0,1948
Aug,2018,MadisonWI,47313,15,9,0,2970
Sep,2018,MadisonWI,51818.6,52,9,0,1883
Oct,2018,MadisonWI,42922.75,128,6,0,2704.5
Nov,2018,MadisonWI,40879.75,102,9,0,1647.5
Dec,2018,MadisonWI,34109,46,10,0,1243
Jan,2019,MadisonWI,32538.25,20,7,0,1338
Feb,2019,MadisonWI,27467.25,26,7,0,1379.5
Mar,2019,MadisonWI,35889.4,57,8,0,1590
Apr,2019,MadisonWI,49528.5,60,8,0,1639
May,2019,MadisonWI,59512.75,99,7,0,1700
June,2019,MadisonWI,56591.2,160,9,0,2294
July,2019,MadisonWI,43899,98,10,0,1554
Aug,2019,MadisonWI,47832.5,91,7,0,1388.5
Sep,2019,MadisonWI,57960,175,8,0,1380.5
Oct,2019,MadisonWI,46380.25,240,9,0,1782
Nov,2019,MadisonWI,39132.5,91,6,0,963.5
Dec,2019,MadisonWI,37681.6,85,9,0,963.5
Jan,2020,MadisonWI,35593.5,26,15,0,1194.4615
Feb,2020,MadisonWI,35756,82,12,0,1509.415
Mar,2020,MadisonWI,43332,101,22,0,1202.1426
Jan,2018,MemphisTN,125244,0,45,4,9646.5
Feb,2018,MemphisTN,129219.75,1,44,4,11448.5
Mar,2018,MemphisTN,156252,14,56,4,14569
Apr,2018,MemphisTN,214564,35,56,4,15250.5
May,2018,MemphisTN,195866.75,36,48,4,14361
June,2018,MemphisTN,144519,24,48,4,13293.5
July,2018,MemphisTN,123534.6,45,51,4,14978
Aug,2018,MemphisTN,129299,85,47,4,15074
Sep,2018,MemphisTN,154336.2,86,45,4,12350.5
Oct,2018,MemphisTN,142122.5,132,51,4,16929
Nov,2018,MemphisTN,133955,123,49,4,14124.5
Dec,2018,MemphisTN,121066.2,73,44,4,12349
Jan,2019,MemphisTN,116438.75,49,51,4,23464.5
Feb,2019,MemphisTN,132105.75,61,31,4,56428
Mar,2019,MemphisTN,140389.2,119,31,4,60341
Apr,2019,MemphisTN,191423,123,35,4,68080
May,2019,MemphisTN,174370.75,145,37,4,65839.5
June,2019,MemphisTN,126032.6,303,58,4,15790.5
July,2019,MemphisTN,106610.5,308,52,4,14637
Aug,2019,MemphisTN,110093.75,237,50,4,17140
Sep,2019,MemphisTN,145340.6,523,61,4,12820.5
Oct,2019,MemphisTN,129251.25,566,52,4,14425
Nov,2019,MemphisTN,126529.75,186,49,4,11846.5
Dec,2019,MemphisTN,116627.6,132,51,4,13855
Jan,2020,MemphisTN,99231,145,59,4,15789.0539
Feb,2020,MemphisTN,107515.75,136,54,4,14560.6377
Mar,2020,MemphisTN,126896.2,191,51,4,12674.6381
Jan,2018,MiamiFL,346870.5,2,403,3,148452.5
Feb,2018,MiamiFL,338320.25,2,409,3,155715
Mar,2018,MiamiFL,429788.25,46,467,3,200461
Apr,2018,MiamiFL,451114,121,440,3,185346
May,2018,MiamiFL,417912,141,445,3,180047
June,2018,MiamiFL,374865.75,115,435,3,161222
July,2018,MiamiFL,350947.8,159,435,3,172558.5
Aug,2018,MiamiFL,316509.25,194,478,3,192614.5
Sep,2018,MiamiFL,348806,450,414,3,153955
Oct,2018,MiamiFL,346860.25,578,451,3,184299
Nov,2018,MiamiFL,326618,642,417,3,152083.5
Dec,2018,MiamiFL,319288.4,310,405,3,137391
Jan,2019,MiamiFL,274002.75,225,405,3,147861
Feb,2019,MiamiFL,326378.25,306,415,3,175718.5
Mar,2019,MiamiFL,372567.2,476,458,3,183476
Apr,2019,MiamiFL,362306.25,500,478,3,198714.5
May,2019,MiamiFL,367456,746,448,3,180340
